time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
239.8,19252054.412,386672314.952,300197930.814,167453277.159,182283384.024,280958825.653,296794652.625,,2,8,1.0590021718141904,0.16582726378538426
239.9,15408225.304,352548937.45,289176013.042,152871405.43,178330257.847,289787578.465,261322938.901,,2,8,1.4344282920887945,0.023057090782531264
240.0,23718450.82,304936503.109,257995969.177,129787394.944,174552109.447,291421215.059,312377035.367,,3,8,1.3229183193419052,0.04950668011551096
240.1,18981235.015,254057808.026,244177658.623,107363513.213,172619954.831,297797028.211,273757558.247,,3,8,0.37043172000099,0.580594660415553
240.2,15191531.201,210381103.323,263089061.44,87496506.033,166136945.853,280681486.788,231016875.417,,3,8,0.06480499470922478,0.7876917008177577
240.3,27494604.102,173454956.502,279888226.126,70786070.514,167351535.992,271981583.589,309001928.16,,4,8,0.02868321395207639,0.9026922310263836
240.4,22002335.704,143496878.766,287339786.016,57039283.361,173549141.227,287231784.631,294512306.34,,4,8,0.037027408187115085,0.9227214261963977
240.5,17608390.881,118599658.056,303669805.283,45852937.988,173980741.372,285036440.308,258454317.678,,4,8,0.015562113765398775,0.9444323252708957
240.6,29428034.817,97986299.168,316902924.912,36785672.346,169244003.894,261892452.592,291070737.133,,1,9,-0.001408494792504482,0.9504092662501868
240.7,23549097.821,80498576.39,325907374.96,29482489.002,173439582.269,275556953.985,298470396.354,,1,9,-0.008200446065091068,0.9410356474957525
240.8,18845761.635,66187263.38,330542051.956,23619382.832,176161139.893,283618697.362,253386950.151,,1,9,-0.024166177410450497,0.9475593643252472
240.9,15083026.25,54204565.784,305057440.673,18922152.093,161924410.199,246529614.265,215017514.378,,1,9,-0.02508026817665969,0.934088709675212
241.0,27407875.138,44147866.874,314733943.81,15163360.229,162963035.077,261875241.496,301276221.167,,2,9,-0.017650284881646536,0.9473151931724723
241.1,21932819.441,35999329.326,311957505.797,12155850.38,163410666.534,280265356.602,278510852.15,,2,9,-0.018240987908080392,0.9578349369291941
241.2,17552843.244,29597871.663,301418410.654,9750654.435,167093892.969,281565148.717,241594111.083,,2,9,-0.01798944137489048,0.9654997798218962
241.3,25433948.726,24803296.495,308730508.97,7826123.468,169209632.243,270096724.88,330215192.903,,3,9,-0.013453379990905096,0.961854658152129
241.4,20353672.333,21301381.326,300567255.504,6287692.254,175100963.675,279011581.207,331356377.65,,3,9,-0.013667386822222669,0.9574357480000101
241.5,16289451.219,18806111.621,305710555.038,5057099.333,181579515.624,286250970.288,337118796.333,,3,9,-0.013108559088588184,0.961353227408109
241.6,28373067.307,17111072.652,311804324.866,4072923.467,187562837.396,292402725.352,372056342.349,,4,9,-0.013187721154147496,0.9350506507936869
241.7,22704943.23,16629926.628,312500763.928,3285699.82,192480264.575,295125875.117,361476562.549,,4,9,-0.0063589544705275995,0.929148727677214
241.8,18170407.849,16882005.901,329037224.977,2656065.521,194695994.858,298385921.955,351944320.726,,4,9,-0.005051235992861881,0.9356448321236137
241.9,14542866.491,18183330.59,328980052.602,2153386.024,196029355.278,304159220.183,345298525.946,,4,9,-0.00019754546846261628,0.9369490316860046
242.0,26975769.089,20617821.288,330263679.35,1751003.79,195955027.21,305097449.944,362510981.375,,1,10,-0.0011622164195877055,0.9420374956853305
242.1,21587191.125,24509125.931,325783897.165,1429325.537,196434072.416,310652115.117,383318799.327,,1,10,0.007819256315569685,0.9471626242006802
242.2,17276310.956,30407172.602,317763136.544,1173224.271,194332053.546,313283182.198,405214878.719,,1,10,0.008789838519282389,0.9574665016083379
242.3,29162597.581,39177850.118,313157029.282,968600.609,196085485.116,306767882.729,423588083.877,,2,10,0.023879028544127913,0.9579676621394346
242.4,23336683.473,50128847.135,302501794.968,803397.214,202200754.601,303855123.925,433681365.11,,2,10,0.026693941042822536,0.9577654584313026
242.5,18676002.128,63627264.896,266121068.994,671047.464,201980179.763,303806199.817,445617389.787,,2,10,0.021593890946981942,0.955084861791089
242.6,26332664.423,79231760.721,220518622.073,566370.252,207445010.428,308351970.183,443133153.739,,3,10,0.023516636281097264,0.9549177857629798
242.7,21072617.921,90824605.666,182230880.474,482359.501,207640621.805,315846207.678,429865114.018,,3,10,0.010990360757959922,0.9431867619128508
242.8,16864592.719,91659096.757,150855436.802,414850.062,206110476.017,324680474.162,381422600.41,,3,10,-0.0038407186449706462,0.9283894800277948
242.9,13498238.169,76081751.043,124798938.503,361063.14,190457024.109,281337246.702,328987399.357,,3,10,-0.00984205937160956,0.924687123883221
243.0,26140063.904,123978255.697,103577778.749,317844.69,190335980.639,285309993.012,370914665.92,,4,10,-0.024494898269318617,0.940508394529254
243.1,20918665.372,150000477.991,85766966.519,283141.251,190940468.728,297337728.879,321451666.794,,4,10,-0.019062632530113047,0.9522468998996956
243.2,16741669.097,167313132.176,70841846.171,256046.553,188872503.593,306277654.572,272221691.821,,4,10,-0.003547056061064466,0.9501206957364597
243.3,28734694.699,166255190.848,58677041.54,234167.094,187323623.625,283886175.289,226233330.1,,1,11,-0.004408978399217459,0.946715286706234
243.4,22994142.275,171901713.064,48556726.744,216133.42,161915679.839,229689229.328,185072161.654,,1,11,-0.004503123216527693,0.9463573896893847
243.5,18401797.198,170994451.351,40266596.443,202460.95,129802065.027,183801203.573,150629434.072,,1,11,-0.008199676303078284,0.951136983429124
